pmcid,pmid,title,source_url,raw_path,text_path,processed_path,chunk_count,entity_count,relationship_count,fetch_status,extract_status,load_status,extractor_model,status,error
PMC3572442,,Hyperlipidemia as a Risk Factor for Cardiovascular Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC3572442/,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/raw/PMC3572442.json,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/text/PMC3572442.txt,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/processed/PMC3572442.json,8,142,117,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC3234107,,The Role of Triglycerides in Atherosclerosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC3234107/,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/raw/PMC3234107.json,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/text/PMC3234107.txt,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/processed/PMC3234107.json,7,109,119,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC4866746,,Triglyceride-rich lipoproteins as a causal factor for cardiovascular disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC4866746/,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/raw/PMC4866746.json,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/text/PMC4866746.txt,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/processed/PMC4866746.json,11,193,307,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC4911828,,Triglyceride and cardiovascular risk: A critical appraisal,https://pmc.ncbi.nlm.nih.gov/articles/PMC4911828/,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/raw/PMC4911828.json,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/text/PMC4911828.txt,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/processed/PMC4911828.json,6,102,149,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC4287928,,Evolving targets for lipid-modifying therapy,https://pmc.ncbi.nlm.nih.gov/articles/PMC4287928/,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/raw/PMC4287928.json,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/text/PMC4287928.txt,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/processed/PMC4287928.json,11,187,158,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC2952453,,Benefits of statin therapy and compliance in high risk cardiovascular patients,https://pmc.ncbi.nlm.nih.gov/articles/PMC2952453/,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/raw/PMC2952453.json,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/text/PMC2952453.txt,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/processed/PMC2952453.json,9,99,128,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
PMC10373341,,Triglycerides and risk of cardiovascular events in statin-treated patients with newly diagnosed type 2 diabetes: a Danish cohort study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10373341/,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/raw/PMC10373341.json,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/text/PMC10373341.txt,/app/data/source_documents/ui_ingestion/ing-93bd9ba400be/processed/PMC10373341.json,9,95,243,ok,ok,ok,Ihor/gliner-biomed-small-v1.0 + sentence-transformers/all-MiniLM-L6-v2,ok,
