pmcid,pmid,title,source_url,raw_path,text_path,processed_path,chunk_count,entity_count,relationship_count,fetch_status,extract_status,load_status,extractor_model,status,error
PMC3572442,,Hyperlipidemia as a Risk Factor for Cardiovascular Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC3572442/,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/raw/PMC3572442.json,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/text/PMC3572442.txt,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/processed/PMC3572442.json,8,139,135,ok,ok,skipped,gpt-5.5,ok,
PMC3234107,,The Role of Triglycerides in Atherosclerosis,https://pmc.ncbi.nlm.nih.gov/articles/PMC3234107/,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/raw/PMC3234107.json,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/text/PMC3234107.txt,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/processed/PMC3234107.json,7,111,140,ok,ok,skipped,gpt-5.5,ok,
PMC4866746,,Triglyceride-rich lipoproteins as a causal factor for cardiovascular disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC4866746/,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/raw/PMC4866746.json,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/text/PMC4866746.txt,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/processed/PMC4866746.json,11,163,234,ok,ok,skipped,gpt-5.5,ok,
PMC4911828,,Triglyceride and cardiovascular risk: A critical appraisal,https://pmc.ncbi.nlm.nih.gov/articles/PMC4911828/,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/raw/PMC4911828.json,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/text/PMC4911828.txt,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/processed/PMC4911828.json,6,97,92,ok,ok,skipped,gpt-5.5,ok,
PMC4287928,,Evolving targets for lipid-modifying therapy,https://pmc.ncbi.nlm.nih.gov/articles/PMC4287928/,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/raw/PMC4287928.json,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/text/PMC4287928.txt,data/annotations/bootstrap_v001/annotation-20260630171629/source_documents/processed/PMC4287928.json,11,197,290,ok,ok,skipped,gpt-5.5,ok,
